,Description,Unit,Qty,,Cost per Unit,,,,Total,
,Four Loko Tropical Can 8.4%,12 x Single Item,4,,¤ 41.25,,,,¤ 165.00,
,Franziskaner Bottle 500Ml 5% Deu,12 x Single Item,1,,¤ 22.05,,,,¤ 22.05,
,Freixenet Spanish Sauv Blanc 750ml,6 x Single Item,0.666599989,,¤ 46.50,,,,¤ 31.00,
,Freixenet Still Italian Rose 750ml,6 x Single Item,1,,¤ 48.50,,,,¤ 48.50,
,Gordons Dry Gin 350Ml 37.5%,6 x Single Item,1,,¤ 56.50,,,,¤ 56.50,
,Gordons Gin 200ml 37.5%,6 x Single Item,1,,¤ 37.00,,,,¤ 37.00,
,Gordons Pink Gin & Tonic Can,12 x Single Item,2,,¤ 24.25,,,,¤ 48.50,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Gordons Pink Gin& Tonic 4Pk Can 6.4%,6 x 4 Pack,5,,¤ 36.48,,,,¤ 182.40,
,Guinness 500ml 12pk Can 4.2%,Case 12,20,,¤ 17.89,,,,¤ 357.80,
,Guinness 500ml 4pk Can4.2%.,24 x Single Item,12,,¤ 35.29,,,,¤ 423.48,
,Guinness Bot 500Ml 4 Pack 4.2%,16 x Single Item,3,,¤ 30.45,,,,¤ 91.35,
,Guinness Bottle 330Ml 6 Pack 4.2%,4 x 6 Pack,3,,¤ 29.99,,,,¤ 89.97,
,Guinness Draught 0.0% 500ml Can.,24 x Single Item,2,,¤ 29.69,,,,¤ 59.38,
,Guinness Foreign Stout Bot330M 7.5%,24 x Single Item,1,,¤ 41.75,,,,¤ 41.75,
,Guinness West Indies Porter 500Ml 6,8 x Single Item,2,,¤ 14.99,,,,¤ 29.98,
,Hackenberg Pils 500ml Can,24 x Single Item,6,,¤ 26.80,,,,¤ 160.80,
,Hans Greyl Marl Sauv Blanc 750ml,6 x Single Item,2,,¤ 47.50,,,,¤ 95.00,
,Heavenly Malbec 750ml,6 x Single Item,1,,¤ 44.50,,,,¤ 44.50,
,Heavenly Sauv Blanc,6 x Single Item,2,,¤ 44.50,,,,¤ 89.00,
,Heineken 0.0 500ml 4Pk Can,24 x Single Item,5,,¤ 29.20,,,,¤ 146.00,
,Heineken 4 Pk Can ,24 x Single Item,10,,¤ 40.39,,,,¤ 403.90,
,Heineken 500ml 10pk 4.3% Can,3 x Case 10,45,,¤ 45.05,,,,"¤ 2,027.25",
,Heineken Bottle 330Ml 12Pack 4.3%,2 x Case 12,5,,¤ 26.25,,,,¤ 131.25,
,Heineken Bottle 650ML 5%,12 x Single Item,2,,¤ 32.69,,,,¤ 65.38,
,Heineken Can 500ml 6 PK 4.3%,4 x 6 Pack,20,,¤ 34.15,,,,¤ 683.00,
,Hellesbrau Lager 4pk PM5 440ml 3.5,24 x Single Item,3,,¤ 16.95,,,,¤ 50.85,
,Hendricks Gin 700Ml 41.4%,6 x Single Item,0.333299994,,¤ 197.12,,,,¤ 65.70,
,Hennessy Brandy 350Ml 40%,12 x Single Item,0.333299994,,¤ 205.94,,,,¤ 68.64,
,Hennessy XO 700ml Bottle,Single Item,1,,¤ 147.50,,,,¤ 147.50,
,High Commissioner Scot Nag 200Ml40%,48 x Single Item,0.125,,¤ 255.84,,,,¤ 31.98,
,High Commissioner Scotch 350Ml 40%,24 x Single Item,0.125,,¤ 222.00,,,,¤ 27.75,
,Hollow and Fentimans Ginger Beer Btl 4%,8 x Single Item,1,,¤ 22.99,,,,¤ 22.99,
,Hop House 13 500Ml 8Pk Can,24 x Single Item,5,,¤ 34.99,,,,¤ 174.95,
,Hop House 13 Lager Btl 650ml,12 x Single Item,1,,¤ 26.99,,,,¤ 26.99,
,Hop House 4pk 500Ml Can 4%,6 x 4 Pack,2,,¤ 35.45,,,,¤ 70.90,
